comarca,serventia,data_futura,horizonte_meses,taxa_prevista,mes_no_horizonte
ABADIÂNIA,Vara Judicial,2025-11-30,12,90.83,1
ABADIÂNIA,Vara Judicial,2025-12-31,12,91.09,2
ABADIÂNIA,Vara Judicial,2026-01-31,12,91.34,3
ABADIÂNIA,Vara Judicial,2026-02-28,12,91.57,4
ABADIÂNIA,Vara Judicial,2026-03-31,12,91.83,5
ABADIÂNIA,Vara Judicial,2026-04-30,12,92.08,6
ABADIÂNIA,Vara Judicial,2026-05-31,12,92.34,7
ABADIÂNIA,Vara Judicial,2026-06-30,12,92.58,8
ABADIÂNIA,Vara Judicial,2026-07-31,12,92.84,9
ABADIÂNIA,Vara Judicial,2026-08-31,12,93.1,10
ABADIÂNIA,Vara Judicial,2026-09-30,12,93.34,11
ABADIÂNIA,Vara Judicial,2026-10-31,12,93.6,12
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-11-30,12,96.57,1
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-12-31,12,97.58,2
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-01-31,12,98.59,3
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-02-28,12,99.5,4
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-03-31,12,100.0,5
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-04-30,12,100.0,6
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-05-31,12,100.0,7
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-06-30,12,100.0,8
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-07-31,12,100.0,9
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-08-31,12,100.0,10
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-09-30,12,100.0,11
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-10-31,12,100.0,12
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-11-30,12,94.42,1
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-12-31,12,94.65,2
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-01-31,12,94.89,3
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-02-28,12,95.11,4
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-03-31,12,95.34,5
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-04-30,12,95.57,6
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-05-31,12,95.81,7
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-06-30,12,96.04,8
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-07-31,12,96.27,9
