comarca,serventia,data_futura,horizonte_meses,taxa_prevista,mes_no_horizonte
ABADIÂNIA,Vara Judicial,2025-11-30,3,90.83,1
ABADIÂNIA,Vara Judicial,2025-12-31,3,91.09,2
ABADIÂNIA,Vara Judicial,2026-01-31,3,91.34,3
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-11-30,3,96.57,1
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-12-31,3,97.58,2
ACREÚNA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-01-31,3,98.59,3
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-11-30,3,94.42,1
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-12-31,3,94.65,2
ACREÚNA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-01-31,3,94.89,3
ALEXÂNIA,Vara Judicial,2025-11-30,3,97.18,1
ALEXÂNIA,Vara Judicial,2025-12-31,3,97.69,2
ALEXÂNIA,Vara Judicial,2026-01-31,3,98.21,3
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2025-11-30,3,95.86,1
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2025-12-31,3,95.94,2
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2026-01-31,3,96.03,3
ALVORADA DO NORTE,Vara Judicial,2025-11-30,3,96.02,1
ALVORADA DO NORTE,Vara Judicial,2025-12-31,3,96.26,2
ALVORADA DO NORTE,Vara Judicial,2026-01-31,3,96.5,3
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-11-30,3,100.0,1
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-12-31,3,100.0,2
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-01-31,3,100.0,3
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-11-30,3,91.31,1
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-12-31,3,91.85,2
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-01-31,3,92.39,3
ANÁPOLIS,1ª Vara Criminal,2025-11-30,3,100.0,1
ANÁPOLIS,1ª Vara Criminal,2025-12-31,3,100.0,2
ANÁPOLIS,1ª Vara Criminal,2026-01-31,3,100.0,3
ANÁPOLIS,1ª Vara Cível,2025-11-30,3,95.38,1
ANÁPOLIS,1ª Vara Cível,2025-12-31,3,95.45,2
ANÁPOLIS,1ª Vara Cível,2026-01-31,3,95.52,3
ANÁPOLIS,1ª Vara de Família e Sucessões,2025-11-30,3,91.61,1
ANÁPOLIS,1ª Vara de Família e Sucessões,2025-12-31,3,92.33,2
ANÁPOLIS,1ª Vara de Família e Sucessões,2026-01-31,3,93.04,3
ANÁPOLIS,1º Juizado Especial Criminal,2025-11-30,3,97.05,1
ANÁPOLIS,1º Juizado Especial Criminal,2025-12-31,3,97.66,2
ANÁPOLIS,1º Juizado Especial Criminal,2026-01-31,3,98.27,3
ANÁPOLIS,1º Juizado Especial Cível,2025-11-30,3,64.27,1
ANÁPOLIS,1º Juizado Especial Cível,2025-12-31,3,65.45,2
ANÁPOLIS,1º Juizado Especial Cível,2026-01-31,3,66.62,3
ANÁPOLIS,2ª Vara Criminal,2025-11-30,3,96.72,1
ANÁPOLIS,2ª Vara Criminal,2025-12-31,3,97.2,2
ANÁPOLIS,2ª Vara Criminal,2026-01-31,3,97.68,3
ANÁPOLIS,2ª Vara Cível,2025-11-30,3,94.28,1
ANÁPOLIS,2ª Vara Cível,2025-12-31,3,94.25,2
ANÁPOLIS,2ª Vara Cível,2026-01-31,3,94.23,3
ANÁPOLIS,2ª Vara de Família e Sucessões,2025-11-30,3,98.38,1
ANÁPOLIS,2ª Vara de Família e Sucessões,2025-12-31,3,99.6,2
ANÁPOLIS,2ª Vara de Família e Sucessões,2026-01-31,3,100.0,3
ANÁPOLIS,2º Juizado Especial Cível,2025-11-30,3,73.98,1
ANÁPOLIS,2º Juizado Especial Cível,2025-12-31,3,74.95,2
ANÁPOLIS,2º Juizado Especial Cível,2026-01-31,3,75.91,3
ANÁPOLIS,3ª Vara Criminal,2025-11-30,3,100.0,1
ANÁPOLIS,3ª Vara Criminal,2025-12-31,3,100.0,2
ANÁPOLIS,3ª Vara Criminal,2026-01-31,3,100.0,3
ANÁPOLIS,3ª Vara Cível,2025-11-30,3,91.81,1
ANÁPOLIS,3ª Vara Cível,2025-12-31,3,91.68,2
ANÁPOLIS,3ª Vara Cível,2026-01-31,3,91.55,3
ANÁPOLIS,3ª Vara de Família e Sucessões,2025-11-30,3,95.02,1
ANÁPOLIS,3ª Vara de Família e Sucessões,2025-12-31,3,95.39,2
ANÁPOLIS,3ª Vara de Família e Sucessões,2026-01-31,3,95.75,3
ANÁPOLIS,3º Juizado Especial Cível,2025-11-30,3,50.79,1
ANÁPOLIS,3º Juizado Especial Cível,2025-12-31,3,51.82,2
ANÁPOLIS,3º Juizado Especial Cível,2026-01-31,3,52.86,3
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2025-11-30,3,3.22,1
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2025-12-31,3,3.09,2
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2026-01-31,3,2.96,3
ANÁPOLIS,4ª Vara Cível,2025-11-30,3,95.45,1
ANÁPOLIS,4ª Vara Cível,2025-12-31,3,95.47,2
